CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,780,"1,636.45","1,743.85",780,"23,400.00","1,51,385",1.65,1.70,"1,40,790",0.15,1.70,27.38,"1,75,259","3,764","40,848",
,-,-,-,-,-,-,780,"1,589.25","1,695.30",780,"23,450.00","71,045",1.70,1.75,"69,355",0.05,1.70,26.73,"39,612","1,824","5,735",
,41,-2,6,57.17,"1,689.70",-195.30,65,"1,472.75","1,617.00",65,"23,500.00","4,10,605",1.80,1.85,"5,43,985",0.10,1.80,26.07,"2,82,268","2,755","1,03,909",
,17,-,-,-,-,-,780,"1,494.05","1,584.15",780,"23,550.00","1,17,455",1.90,1.95,"60,320",0.15,1.95,25.49,"50,984",134,"6,205",
,-,-,-,-,-,-,"2,535","1,429.80","1,541.95","2,535","23,600.00","1,97,990",2.00,2.05,"1,74,070",0.15,2.05,24.90,"1,02,452","1,730","16,764",
,-,-,-,-,-,-,"2,665","1,378.40","1,485.85","2,535","23,650.00","74,620",2.15,2.20,"37,375",0.20,2.15,24.36,"47,664",-267,"5,183",
,4,-,5,64.69,"1,393.75",-112.25,65,"1,390.45","1,403.90",65,"23,700.00","1,89,800",2.20,2.25,"1,92,465",0.20,2.20,23.67,"93,031","4,849","21,653",
,567,-116,209,32.11,"1,345.00",-267.15,65,"1,342.60","1,352.25",130,"23,750.00","74,295",2.40,2.45,"55,055",0.25,2.45,23.17,"99,167","-2,770","30,089",
,284,-56,96,32.19,"1,292.25",-236.00,65,"1,290.65","1,307.20",130,"23,800.00","1,90,905",2.45,2.50,"1,13,425",0.35,2.50,22.39,"1,82,338","10,515","50,825",
,15,-,-,47.49,-,-,"2,535","1,197.40","1,283.65","2,600","23,850.00","1,21,875",2.55,2.60,"32,110",0.25,2.60,21.73,"65,854","2,103","7,516",
,145,3,13,51.60,"1,180.00",-162.30,65,"1,174.95","1,207.15",130,"23,900.00","1,03,025",2.70,2.75,"2,51,420",0.35,2.75,21.12,"1,97,814","6,660","20,367",
,23,1,2,38.45,"1,140.00",-248.00,65,"1,141.10","1,151.50",130,"23,950.00","1,06,470",2.85,2.90,"1,27,595",0.35,2.90,20.49,"99,419","3,943","9,834",
,"10,746","-1,590","4,749",24.42,"1,099.55",-245.70,65,"1,098.15","1,099.55",65,"24,000.00","18,200",3.05,3.10,"73,970",0.40,3.05,19.89,"7,07,957","19,479","1,61,271",
,3,-1,11,55.05,"1,044.85",-267.55,65,"1,042.35","1,050.75",65,"24,050.00","10,725",3.20,3.25,"38,155",0.55,3.25,19.23,"1,03,830","3,079","9,182",
,54,-6,45,25.47,994.70,-205.30,260,996.80,"1,002.15",390,"24,100.00","32,760",3.40,3.45,"63,505",0.60,3.45,18.71,"2,92,339","12,832","32,147",
,2,-,-,-,-,-,"1,300",925.55,959.10,"1,300","24,150.00","18,525",3.60,3.65,"27,755",0.60,3.60,18.00,"1,61,243","1,587","8,900",
,46,-4,87,20.99,896.80,-219.15,325,897.85,903.15,390,"24,200.00","35,100",3.80,3.85,"61,035",0.80,3.85,17.32,"4,62,529","11,146","63,924",
,44,3,16,33.43,845.60,-295.40,260,847.90,852.50,260,"24,250.00","30,095",4.15,4.20,"41,145",0.90,4.20,16.78,"2,30,891","2,148","19,742",
,82,-10,143,17.97,795.20,-246.35,260,796.30,802.60,325,"24,300.00","37,960",4.50,4.55,"34,580",1.00,4.50,16.13,"4,95,898","4,131","50,555",
,61,3,23,17.85,746.60,-254.45,260,748.85,753.15,455,"24,350.00","25,285",5.00,5.05,715,1.20,5.05,15.59,"3,09,654","12,030","23,639",
,239,-32,331,17.90,697.20,-255.80,65,701.55,703.65,390,"24,400.00","31,070",5.60,5.65,"11,700",1.65,5.65,14.97,"6,70,548","5,705","43,287",
,211,-20,124,15.13,649.65,-289.10,325,651.95,653.35,65,"24,450.00","24,245",6.40,6.45,"2,990",2.00,6.50,14.48,"5,71,630","4,802","24,093",
,"4,034",-929,"6,331",15.03,600.00,-247.10,130,603.15,605.00,390,"24,500.00","15,730",7.30,7.35,"9,100",2.65,7.35,13.93,"13,05,249","39,918","1,74,780",
,156,-140,284,14.24,549.15,-252.05,65,553.20,556.50,390,"24,550.00","10,855",8.70,8.75,520,3.35,8.75,13.44,"5,94,104","8,886","26,681",
,470,-158,"1,342",13.67,505.00,-247.45,585,506.20,508.45,130,"24,600.00","6,695",10.55,10.65,"9,165",4.65,10.60,13.04,"9,04,644","17,942","60,728",
,423,-117,912,14.13,452.10,-250.55,520,457.95,460.05,65,"24,650.00","2,210",13.00,13.05,845,6.15,13.00,12.66,"7,37,209","3,790","36,240",
,"2,606",118,"3,331",13.25,411.15,-241.90,130,412.25,413.20,65,"24,700.00","2,340",16.25,16.30,"5,330",8.40,16.25,12.29,"12,80,319","23,149","94,133",
,932,217,"2,845",13.02,361.50,-225.85,260,366.20,367.10,195,"24,750.00","5,265",20.70,20.80,"7,865",11.30,20.70,11.92,"9,37,486","18,030","48,106",
,"6,026","1,485","26,457",12.31,323.70,-236.15,585,323.10,323.80,325,"24,800.00","2,535",26.30,26.40,"12,935",15.35,26.35,11.66,"19,33,857","64,358","1,51,882",
,"1,465",394,"8,047",12.19,280.00,-229.15,520,280.30,281.00,195,"24,850.00","1,235",33.70,33.80,"2,340",20.25,33.85,11.42,"12,04,491","16,123","44,056",
,"11,240","8,395","53,995",11.83,240.15,-225.50,195,240.30,240.85,130,"24,900.00","6,695",43.30,43.45,"2,145",26.20,43.30,11.17,"26,05,166","35,334","1,20,432",
,"5,434","3,735","37,193",11.55,202.15,-213.85,650,202.05,202.50,325,"24,950.00",260,55.95,56.05,975,34.05,55.95,10.98,"19,28,898","24,509","57,851",
,"87,245","56,293","4,57,895",11.27,167.85,-202.65,520,167.95,168.25,130,"25,000.00",845,71.05,71.20,"3,315",44.25,71.35,10.87,"53,42,762","58,260","2,12,975",
,"47,410","38,114","2,69,770",11.07,136.10,-190.05,"1,040",136.10,136.35,325,"25,050.00",195,90.40,90.55,455,56.45,90.40,10.64,"29,23,927","66,108","1,00,025",
,"1,61,510","1,29,834","10,43,203",10.97,109.00,-175.10,585,108.80,109.00,910,"25,100.00",780,113.15,113.40,"1,040",71.45,113.40,10.43,"49,55,697","59,817","1,39,558",
,"1,12,811","95,099","9,46,929",10.79,86.10,-159.95,"2,210",86.00,86.20,"1,040","25,150.00",390,139.30,139.55,325,85.65,139.20,10.43,"39,16,539","16,235","65,013",
,"2,45,833","1,95,671","31,80,164",10.75,67.10,-140.35,"1,820",66.95,67.10,130,"25,200.00",195,170.60,170.95,"1,235",104.30,170.60,10.33,"74,41,738",-58,"1,14,954",
,"1,59,036","1,31,373","31,69,490",10.80,51.80,-122.70,"2,925",51.75,51.85,780,"25,250.00",325,204.70,205.15,585,121.60,205.20,10.24,"57,70,641","3,769","43,446",
,"3,50,845","2,61,534","62,59,616",10.85,39.90,-105.85,"8,255",39.80,39.90,"1,235","25,300.00",390,243.35,243.85,260,143.80,243.95,10.29,"69,80,219","-6,539","88,933",
,"1,72,659","1,27,354","38,86,046",11.02,30.95,-88.65,325,30.85,30.90,"3,055","25,350.00",65,283.50,283.90,325,166.35,284.05,10.44,"24,65,209","-2,396","28,706",
,"2,64,954","1,46,340","46,83,537",11.24,24.10,-71.80,"9,815",24.05,24.15,"15,210","25,400.00",585,327.05,327.85,325,182.95,327.00,10.37,"17,03,911","-8,173","37,090",
