       27	2025-03-01 08:24:59	1	0	1	0
       23	2025-03-01 09:13:05	1	0	1	0
       10	2025-03-01 09:31:30	1	0	1	0
       28	2025-03-01 09:50:49	1	0	1	0
       24	2025-03-01 09:59:54	1	0	1	0
       26	2025-03-01 10:00:47	1	0	1	0
       26	2025-03-01 10:00:49	1	0	1	0
        1	2025-03-01 10:49:20	1	0	1	0
        5	2025-03-01 10:54:33	1	0	1	0
       10	2025-03-01 14:59:02	1	0	1	0
       10	2025-03-01 14:59:03	1	0	1	0
       28	2025-03-01 17:34:33	1	0	1	0
       27	2025-03-01 17:52:31	1	0	1	0
       23	2025-03-01 18:35:48	1	0	1	0
        5	2025-03-01 18:53:37	1	0	1	0
       26	2025-03-01 18:53:44	1	0	1	0
        1	2025-03-01 18:53:50	1	0	1	0
       24	2025-03-01 18:53:58	1	0	1	0
       27	2025-03-03 08:29:52	1	0	1	0
       10	2025-03-03 09:35:01	1	0	1	0
       26	2025-03-03 09:57:24	1	0	1	0
       24	2025-03-03 09:57:43	1	0	1	0
       28	2025-03-03 10:01:20	1	0	1	0
        5	2025-03-03 10:54:51	1	0	1	0
       12	2025-03-03 14:21:33	1	0	1	0
       28	2025-03-03 17:32:12	1	0	1	0
       27	2025-03-03 17:50:21	1	0	1	0
       12	2025-03-03 18:23:09	1	0	1	0
       10	2025-03-03 18:31:52	1	0	1	0
       26	2025-03-03 18:54:17	1	0	1	0
        5	2025-03-03 18:54:49	1	0	1	0
       24	2025-03-03 18:56:23	1	0	1	0
       27	2025-03-04 08:24:23	1	0	1	0
       23	2025-03-04 09:23:46	1	0	1	0
       10	2025-03-04 09:28:38	1	0	1	0
       24	2025-03-04 09:58:05	1	0	1	0
       26	2025-03-04 09:58:26	1	0	1	0
        1	2025-03-04 10:42:42	1	0	1	0
        5	2025-03-04 10:50:14	1	0	1	0
       12	2025-03-04 11:00:40	1	0	1	0
       12	2025-03-04 15:08:29	1	0	1	0
       27	2025-03-04 17:49:30	1	0	1	0
       10	2025-03-04 18:22:16	1	0	1	0
       10	2025-03-04 18:22:17	1	0	1	0
       23	2025-03-04 18:28:46	1	0	1	0
       24	2025-03-04 18:53:12	1	0	1	0
       26	2025-03-04 18:54:19	1	0	1	0
       26	2025-03-04 18:54:20	1	0	1	0
        5	2025-03-04 18:54:30	1	0	1	0
       23	2025-03-05 09:18:00	1	0	1	0
       10	2025-03-05 09:31:21	1	0	1	0
       24	2025-03-05 09:57:54	1	0	1	0
       26	2025-03-05 09:58:49	1	0	1	0
       26	2025-03-05 09:58:51	1	0	1	0
       12	2025-03-05 10:56:16	1	0	1	0
